unique_id,category,subcategory,subsubcategory,subsubsubcategory,title,price,url
5052931072491_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied de meuble plastique Diall H. 50 mm x ø 60 mm,"2,07",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-meuble-plastique-diall-h-50-mm-x-60-mm/5052931072491_CAFR.prd
3419931026091_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,"Pied de lit cylindrique en hêtre taupe Bar Plus H. 25 x Ø6,8 cm","6,45",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-lit-cylindrique-en-hetre-taupe-bar-plus-h-25-x-6-8-cm/3419931026091_CAFR.prd
3274590543026_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied de meuble fuseau en bois noir et doré Cime H. 37 cm,"14,94",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-meuble-fuseau-en-bois-noir-et-dore-cime-h-37-cm/3274590543026_CAFR.prd
3419931086002_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied de lit olive H. 250 mm x Ø 68 mm brut,"5,16",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-lit-olive-h-250-mm-x-68-mm-brut/3419931086002_CAFR.prd
3419931019000_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied de lit fuseau H. 150 mm x ø58 mm brut,"3,16",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-lit-fuseau-h-150-mm-x-58-mm-brut/3419931019000_CAFR.prd
3419931017006_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied de lit olive H. 150 mm x ø58 mm brut,"3,16",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-lit-olive-h-150-mm-x-58-mm-brut/3419931017006_CAFR.prd
3234640062327_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied de table profil en L Mottez en acier noir H. 42 cm,"27,93",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-table-profil-en-l-mottez-en-acier-noir-h-42-cm/3234640062327_CAFR.prd
3419931025094_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,"Pied de lit cylindrique en hêtre taupe Bar Plus H. 15 x Ø6,8 cm","4,74",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-lit-cylindrique-en-hetre-taupe-bar-plus-h-15-x-6-8-cm/3419931025094_CAFR.prd
3274590539999_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied de plan de travail carré en acier époxy noir Cime Zoom H. 70 / 110 cm,"29,90",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-plan-de-travail-carre-en-acier-epoxy-noir-cime-zoom-h-70-110-cm/3274590539999_CAFR.prd
3274590543095_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied de meuble triangle en acier noir H. 15 cm,"12,90",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-meuble-triangle-en-acier-noir-h-15-cm/3274590543095_CAFR.prd
3274590542951_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied de meuble cadre en acier noir Interges H. 85 cm,"39,90",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-meuble-cadre-en-acier-noir-interges-h-85-cm/3274590542951_CAFR.prd
3274590542944_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied de meuble cadre en acier noir Cime H. 71 cm,"34,90",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-meuble-cadre-en-acier-noir-cime-h-71-cm/3274590542944_CAFR.prd
5052931072507_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied ajustable Diall ø60 x H. 700-1000 mm blanc,"29,90",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-ajustable-diall-60-x-h-700-1000-mm-blanc/5052931072507_CAFR.prd
3419934092055_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied de table réglable brossé H.700/1100 x ø60 cm,"34,90",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-table-reglable-brosse-h-700-1100-x-60-cm/3419934092055_CAFR.prd
3234640062174_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied de table central Mottez en acier noir H. 71 x P. 116 cm,319,https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-table-central-mottez-en-acier-noir-h-71-x-p-116-cm/3234640062174_CAFR.prd
3234640059778_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied de table rectangle Mottez H. 71 cm métal blanc,"59,90",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-table-rectangle-mottez-h-71-cm-metal-blanc/3234640059778_CAFR.prd
3274590542937_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied de meuble cadre en acier noir Interges H. 40 cm,"24,90",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-meuble-cadre-en-acier-noir-interges-h-40-cm/3274590542937_CAFR.prd
